Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,snp500,vix_close,qqq_close
2022-09-21 04:00:00+00:00,290.31746221059984,291.96421307589316,283.91867033513967,284.00335693359375,5110700,0.0,0.0,0.0,3789.929931640625,,277.5228576660156
2022-09-22 04:00:00+00:00,283.76819965646257,285.0950142338106,282.19674439811047,282.78955078125,3492500,0.0,0.0,0.0,3757.989990234375,,274.1071472167969
2022-09-23 04:00:00+00:00,280.24886220538923,280.41823545551506,275.14862528743464,278.40447998046875,4949300,0.0,0.0,0.0,3693.22998046875,,269.6442565917969
2022-09-26 04:00:00+00:00,277.2188542469709,278.76208069748327,274.30174588861854,275.44976806640625,4143400,0.0,0.0,0.0,3655.0400390625,,268.52838134765625
2022-09-27 04:00:00+00:00,277.38815679430076,279.03490785068254,272.4196747557284,274.11346435546875,3681000,0.0,0.0,0.0,3647.2900390625,,268.6361389160156
2022-09-28 04:00:00+00:00,275.10152685533643,280.44640328773596,273.87820886421343,279.2231140136719,3995700,0.0,0.0,0.0,3719.0400390625,,273.9798278808594
2022-09-29 04:00:00+00:00,277.37871614169984,277.4540122657202,272.7490096114501,274.9697570800781,3351100,0.0,0.0,0.0,3640.469970703125,,266.0816650390625
2022-09-30 04:00:00+00:00,274.02880345618155,276.14605501302424,270.10484665238795,270.3494873046875,3827200,0.0,0.0,0.0,3585.6201171875,,261.5697937011719
2022-10-03 04:00:00+00:00,273.41710993586804,278.8843206825394,272.3914228108307,277.3975524902344,3457600,0.0,0.0,0.0,3678.429931640625,,267.7063293457031
2022-10-04 04:00:00+00:00,280.99221350058093,285.292593718055,280.83225945843515,285.2549743652344,4163800,0.0,0.0,0.0,3790.929931640625,,276.1231994628906
2022-10-05 04:00:00+00:00,282.04607800131015,286.581678390129,281.1709257492081,284.925537109375,2746900,0.0,0.0,0.0,3783.280029296875,,275.9764404296875
2022-10-06 04:00:00+00:00,283.6835469712994,285.4149852087142,280.99226942173635,281.5757141113281,3081700,0.0,0.0,0.0,3744.52001953125,,273.8037414550781
2022-10-07 04:00:00+00:00,279.2231387445729,279.37370229760313,274.2452371666743,275.6849670410156,3029300,0.0,0.0,0.0,3639.659912109375,,263.37066650390625
2022-10-10 04:00:00+00:00,276.9176251155014,277.5198792177836,272.9748307356069,274.7344970703125,3154500,0.0,0.0,0.0,3612.389892578125,,260.73797607421875
2022-10-11 04:00:00+00:00,274.0006096634053,278.6679943692115,273.5677573304784,275.0451354980469,3849900,0.0,0.0,0.0,3588.840087890625,,257.15582275390625
2022-10-12 04:00:00+00:00,275.20498762695274,277.1905135386182,274.179300567365,274.9226989746094,4378700,0.0,0.0,0.0,3577.030029296875,,257.0677795410156
2022-10-13 04:00:00+00:00,270.19899431268544,283.92819308823914,269.7096554981745,282.82720947265625,7389600,0.0,0.0,0.0,3669.909912109375,,263.09661865234375
2022-10-14 04:00:00+00:00,284.69035588892933,286.4029553143213,278.71499578300035,279.3078308105469,5519400,0.0,0.0,0.0,3583.070068359375,,255.18861389160156
2022-10-17 04:00:00+00:00,283.1377232068539,285.32082307373526,282.2814090971929,284.2386779785156,3555700,0.0,0.0,0.0,3677.949951171875,,263.61529541015625
2022-10-18 04:00:00+00:00,290.07281759687226,290.1857330599156,285.1607939350949,287.4474182128906,4685500,0.0,0.0,0.0,3719.97998046875,,265.699951171875
2022-10-19 04:00:00+00:00,286.38416600807824,288.5578754523147,284.45512594932666,286.3935852050781,2939800,0.0,0.0,0.0,3695.159912109375,,264.7310791015625
2022-10-20 04:00:00+00:00,286.8452277028735,290.1763781863168,284.87853970678196,285.4149169921875,3574700,0.0,0.0,0.0,3665.780029296875,,263.38043212890625
2022-10-21 04:00:00+00:00,285.36966930186577,293.0152055720847,284.36221601890577,292.7138977050781,5357200,0.182,0.0,0.0,3752.75,,269.5561218261719
2022-10-24 04:00:00+00:00,294.2674630504708,297.53469646802006,293.39181403621114,296.64019775390625,4331700,0.0,0.0,0.0,3797.340087890625,,272.5216064453125
2022-10-25 04:00:00+00:00,295.98114487881145,300.15227348871736,295.7551496010052,299.87921142578125,6024800,0.0,0.0,0.0,3859.110107421875,,278.1589660644531
2022-10-26 04:00:00+00:00,299.39910574231016,302.9205526665478,299.20135623408015,299.7757263183594,4991800,0.0,0.0,0.0,3830.60009765625,,272.0126647949219
2022-10-27 04:00:00+00:00,302.76982823565254,304.94484244559874,301.225675612878,301.7341003417969,4262200,0.0,0.0,0.0,3807.300048828125,,267.06036376953125
2022-10-28 04:00:00+00:00,302.9676085711618,309.67158101477787,302.6757254801441,309.3796691894531,5251400,0.0,0.0,0.0,3901.06005859375,,275.2326354980469
2022-10-31 04:00:00+00:00,307.81663176123317,309.60560061465577,306.8185458118341,308.28741455078125,5128200,0.0,0.0,0.0,3871.97998046875,,272.03228759765625
2022-11-01 04:00:00+00:00,310.12351345346974,310.556625662603,305.8205509829795,307.33648681640625,4376400,0.0,0.0,0.0,3856.10009765625,,269.252685546875
